stop_id,stop_code,stop_name,stop_lat,stop_lon
6287,01,WRONIA,52.31717745,21.12601684
6291,01,JAGIEŁŁY,52.32207023,21.11402144
6298,02,LESZNOWOLA,52.09083,20.93417
6304,53,BATALIONÓW CHŁOPSKICH,52.231753,20.895115
6316,01,INSTYTUT KARDIOLOGII,52.21870932,21.17373663
6329,02,AKADEMIJNA,52.3772937,20.93228914
6330,01,AKADEMIJNA,52.37678213,20.93311136
6338,06,GRODZISK,52.3234157,21.06838688
6344,02,LAUROWA,52.30242668,20.97819067
6345,01,LAUROWA,52.30276118,20.97780603
6354,04,BIAŁOŁĘKA-KANAŁ,52.32605923,21.03226192
6360,03,DAWIDY,52.13277513,20.98108669
6361,01,KAMIENNEJ GÓRKI,52.153955,21.353585
6368,03,POTULICKA,52.28611771,21.08271487
